Date,Open,High,Low,Close,Adj Close,Volume
2022-07-07,70.199997,73.500000,69.750000,72.849998,69.864182,36413399
2022-07-08,73.500000,73.800003,71.150002,71.599998,68.665413,37768322
2022-07-11,70.500000,73.900002,70.500000,72.500000,69.528526,40747355
2022-07-12,72.150002,72.150002,70.599998,71.099998,68.185913,34393160
2022-07-13,71.000000,71.650002,70.599998,71.050003,68.137962,23680129
2022-07-14,70.800003,71.099998,69.550003,70.099998,67.226891,21598574
2022-07-15,70.099998,70.300003,68.550003,69.349998,66.507629,57717709
2022-07-18,69.849998,72.000000,69.650002,71.800003,68.857224,33245541
2022-07-19,71.150002,73.449997,71.150002,73.199997,70.199829,39257553
2022-07-20,74.300003,76.150002,74.150002,74.949997,71.878113,61219545
2022-07-21,75.000000,76.000000,74.400002,75.599998,72.501472,31038381
2022-07-22,76.050003,76.300003,74.699997,75.300003,72.213768,21258642
2022-07-25,75.250000,76.150002,74.800003,76.000000,72.885071,19924422
2022-07-26,76.250000,76.599998,74.500000,74.949997,71.878113,24458733
2022-07-27,75.000000,76.000000,74.300003,75.800003,72.693275,17084580
2022-07-28,75.000000,75.099998,73.550003,73.800003,72.940361,33296293
2022-07-29,74.900002,77.449997,74.500000,77.150002,76.251343,41224551
2022-08-01,77.849998,78.150002,76.699997,77.699997,76.794930,18151290
2022-08-02,77.500000,77.900002,75.900002,77.500000,76.597260,18742186
2022-08-03,77.900002,78.599998,75.449997,76.349998,75.460655,23493253
2022-08-04,76.550003,78.150002,75.949997,76.949997,76.053665,24826809
2022-08-05,77.349998,78.449997,77.099998,77.599998,76.696098,19897620
2022-08-08,77.750000,78.599998,76.849998,78.150002,77.239693,19680701
2022-08-10,78.550003,80.300003,77.650002,79.900002,78.969307,35559063
2022-08-11,79.800003,79.800003,78.050003,78.849998,77.931534,31717052
2022-08-12,78.849998,82.199997,78.800003,81.599998,80.649506,40640281
2022-08-16,81.900002,82.949997,80.199997,82.650002,81.687271,26851934
2022-08-17,82.849998,84.050003,82.349998,82.849998,81.884941,28056755
2022-08-18,82.849998,83.300003,82.050003,83.150002,82.181450,20383265
2022-08-19,83.099998,83.199997,81.500000,81.750000,80.797760,16756741
2022-08-22,81.199997,81.199997,78.000000,78.150002,77.239693,18504246
2022-08-23,77.750000,80.349998,77.000000,80.000000,79.068138,18941205
2022-08-24,79.500000,80.250000,78.900002,79.449997,78.524544,15002345
2022-08-25,79.849998,80.949997,79.500000,79.750000,78.821053,14283751
2022-08-26,81.000000,82.900002,80.599998,81.699997,80.748337,29944031
2022-08-29,79.000000,80.449997,78.449997,79.949997,79.018723,20571152
2022-08-30,80.500000,81.849998,80.250000,81.300003,80.353004,22790003
2022-09-01,80.500000,81.449997,80.000000,80.949997,80.007072,19557859
2022-09-02,80.949997,81.750000,79.050003,79.199997,78.277458,23484601
2022-09-05,79.699997,81.050003,79.500000,80.500000,79.562317,21881137
2022-09-06,81.199997,82.449997,80.000000,82.050003,81.094269,21769068
2022-09-07,81.750000,82.599998,81.500000,82.250000,81.291931,18135087
2022-09-08,82.900002,83.099998,81.250000,81.599998,80.649506,13192202
2022-09-09,82.050003,82.800003,81.550003,82.150002,81.193100,14149065
2022-09-12,82.699997,83.500000,82.500000,83.250000,82.280281,13787059
2022-09-13,83.500000,84.250000,83.500000,83.599998,82.626205,14722171
2022-09-14,82.000000,85.000000,81.949997,84.050003,83.070969,22582789
2022-09-15,83.599998,83.800003,82.000000,82.250000,81.291931,16676036
2022-09-16,82.000000,82.400002,79.599998,80.650002,79.710571,22689826
2022-09-19,80.650002,80.750000,78.599998,78.849998,77.931534,17209181
2022-09-20,79.550003,81.349998,79.500000,80.750000,79.809402,14219212
2022-09-21,80.699997,81.550003,79.900002,80.099998,79.166977,10364275
2022-09-22,79.800003,81.000000,79.000000,80.400002,79.463486,11718492
2022-09-23,80.000000,81.099998,77.800003,78.150002,77.239693,11815823
2022-09-26,77.000000,77.300003,73.800003,74.699997,73.829872,15856055
2022-09-27,75.750000,75.849998,73.500000,74.900002,74.027550,14244016
2022-09-28,74.000000,75.099998,73.199997,73.650002,72.792107,11622517
2022-09-29,74.500000,75.650002,73.550003,74.050003,73.187454,31048983
2022-09-30,74.400002,77.099998,73.599998,76.750000,75.855995,23164910
2022-10-03,76.500000,76.550003,75.550003,76.000000,75.114731,12532404
2022-10-04,77.750000,80.000000,76.900002,79.599998,78.672798,17021286
2022-10-06,80.000000,82.699997,79.849998,82.449997,81.489601,22003469
2022-10-07,82.000000,82.099998,80.349998,81.050003,80.105911,12122823
2022-10-10,79.900002,82.500000,79.650002,81.900002,80.946014,17325325
2022-10-11,81.849998,82.199997,78.699997,79.349998,78.425713,15270763
2022-10-12,79.500000,80.000000,78.150002,79.500000,78.573967,12403161
2022-10-13,79.449997,79.849998,77.500000,78.150002,77.239693,12769213
2022-10-14,80.000000,80.000000,77.699997,77.900002,76.992607,8472934
